player_name,year,runs,balls,matches,strike_rate,wickets,run_conceded,balls_bowled,overs,economy
Harpreet Brar,2022,22,25,3,88,4,148,100,16.66666667,8.88
Harshit Rana,2022,2,2,2,100,1,52,31,5.166666667,10.06451613
Rassie van der Dussen,2022,22,25,3,88,0,0,0,0,0
Hardik Pandya,2022,487,387,15,125.8397933,8,226,189,31.5,7.174603175
Hrithik Shokeen,2022,43,48,2,89.58333333,2,130,94,15.66666667,8.29787234
Harshal Patel,2022,43,42,7,102.3809524,21,421,338,56.33333333,7.473372781
Ishan Kishan,2022,418,355,14,117.7464789,0,0,0,0,0
Jagadeesha Suchith,2022,2,8,2,25,7,141,115,19.16666667,7.356521739
Jason Holder,2022,58,46,8,126.0869565,16,399,266,44.33333333,9
Jasprit Bumrah,2022,0,9,4,0,16,392,327,54.5,7.19266055
Jaydev Unadkat,2022,59,37,5,159.4594595,7,191,123,20.5,9.317073171
Jos Buttler,2022,863,596,17,144.7986577,0,0,0,0,0
James Neesham,2022,31,27,2,114.8148148,0,29,18,3,9.666666667
Jonny Bairstow,2022,253,180,11,140.5555556,0,0,0,0,0
Jitesh Sharma,2022,234,149,10,157.0469799,0,0,0,0,0
Josh Hazlewood,2022,18,27,5,66.66666667,21,380,289,48.16666667,7.889273356
Krishnappa Gowtham,2022,0,2,1,0,5,101,72,12,8.416666667
Kumar Kartikeya,2022,3,6,1,50,5,103,78,13,7.923076923
Kagiso Rabada,2022,48,47,7,102.1276596,23,414,303,50.5,8.198019802
Kartik Tyagi,2022,7,6,2,116.6666667,1,79,54,9,8.777777778
Karun Nair,2022,16,18,2,88.88888889,0,0,0,0,0
Krunal Pandya,2022,183,150,13,122,11,269,232,38.66666667,6.956896552
Kieron Pollard,2022,144,146,11,98.63013699,4,130,87,14.5,8.965517241
Khaleel Ahmed,2022,0,2,2,0,16,315,242,40.33333333,7.809917355
Kamlesh Nagarkoti,2022,0,0,0,0,0,29,13,2.166666667,13.38461538
KL Rahul,2022,616,472,14,130.5084746,0,0,0,0,0
Kuldeep Sen,2022,0,3,1,0,8,240,157,26.16666667,9.171974522
Kona Srikar Bharat,2022,8,7,2,114.2857143,0,0,0,0,0
Karan Sharma,2022,4,4,1,100,0,0,0,0,0
Kane Williamson,2022,216,235,12,91.91489362,0,0,0,0,0
Kuldeep Yadav,2022,48,54,7,88.88888889,21,420,306,51,8.235294118
Lalit Yadav,2022,161,152,8,105.9210526,4,152,110,18.33333333,8.290909091
Lockie Ferguson,2022,5,4,2,125,16,433,298,49.66666667,8.718120805
Liam Livingstone,2022,437,261,14,167.4329502,6,202,144,24,8.416666667
Murugan Ashwin,2022,12,14,4,85.71428571,9,233,179,29.83333333,7.810055866
Marco Jansen,2022,9,7,2,128.5714286,7,278,201,33.5,8.298507463
Mayank Markande,2022,0,0,0,0,1,61,42,7,8.714285714
Matheesha Pathirana,2022,0,0,0,0,2,56,48,8,7
Prasidh Krishna,2022,6,12,2,50,21,564,432,72,7.833333333
Shahrukh Khan,2022,117,118,8,99.15254237,0,0,0,0,0
Mayank Theekshana,2022,7,7,2,100,12,267,212,35.33333333,7.556603774
Manan Vohra,2022,19,12,1,158.3333333,0,0,0,0,0
Mandeep Singh,2022,18,24,3,75,0,0,0,0,0
Manish Pandey,2022,88,84,6,104.7619048,0,0,0,0,0
Mayank Agarwal,2022,196,167,12,117.3652695,0,0,0,0,0
Mitchell Marsh,2022,251,192,8,130.7291667,4,102,76,12.66666667,8.052631579
Mitchell Santner,2022,22,30,4,73.33333333,4,135,114,19,7.105263158
Mahipal Lomror,2022,86,60,5,143.3333333,0,18,12,2,9
Moeen Ali,2022,244,183,10,133.3333333,8,159,146,24.33333333,6.534246575
Mohammed Shami,2022,0,0,0,0,21,491,378,63,7.793650794
Mohammed Siraj,2022,30,33,4,90.90909091,9,525,325,54.16666667,9.692307692
Mohsin Khan,2022,23,19,3,121.0526316,14,202,206,34.33333333,5.883495146
Marcus Stoinis,2022,156,116,10,134.4827586,4,79,44,7.333333333,10.77272727
MS Dhoni,2022,232,198,12,117.1717172,0,0,0,0,0
Matthew Wade,2022,157,145,10,108.2758621,0,0,0,0,0
Mukesh Choudhary,2022,6,6,2,100,16,425,291,48.5,8.762886598
Mustafizur Rahman,2022,3,5,1,60,9,248,199,33.16666667,7.477386935
Narayan Jagadeesan,2022,40,40,2,100,0,0,0,0,0
Nicolas Pooran,2022,306,228,13,134.2105263,0,0,0,0,0
Nitish Rana,2022,361,259,14,139.3822394,0,23,12,2,11.5
Nathan Coulter-Nile,2022,1,2,1,50,0,49,20,3.333333333,14.7
Navdeep Saini,2022,2,2,1,100,3,73,39,6.5,11.23076923
Nathan Ellis,2022,0,2,1,0,4,57,40,6.666666667,8.55
Obed Mccoy,2022,8,5,1,160,11,242,173,28.83333333,8.393063584
Odean Smith,2022,51,50,6,102,7,179,95,15.83333333,11.30526316
Prabhsimran Singh,2022,14,11,1,127.2727273,0,0,0,0,0
Bhanuka Rajapaksa,2022,206,137,9,150.3649635,0,0,0,0,0
Prashant Solanki,2022,0,0,0,0,2,39,36,6,6.5
Pat Cummins,2022,63,24,5,262.5,8,219,127,21.16666667,10.34645669
Priyam Garg,2022,46,33,2,139.3939394,0,0,0,0,0
Prerak Mankad,2022,4,1,1,400,0,0,0,0,0
Prithvi Shaw,2022,283,193,10,146.6321244,0,0,0,0,0
Pradeep Sangwan,2022,2,6,1,33.33333333,3,66,56,9.333333333,7.071428571
Dushmantha Chameera,2022,43,32,7,134.375,11,393,278,46.33333333,8.482014388
Wanindu Hasaranga,2022,38,48,7,79.16666667,27,439,346,57.66666667,7.612716763
Quinton de Kock,2022,508,350,15,145.1428571,0,0,0,0,0
Riyan Parag,2022,183,136,14,134.5588235,1,59,26,4.333333333,13.61538462
RovmanPowell,2022,250,174,12,143.6781609,0,17,7,1.166666667,14.57142857
R. Sai Kishore,2022,0,0,0,0,6,122,98,16.33333333,7.469387755
Sanjay Yadav,2022,0,2,1,0,0,23,14,2.333333333,9.857142857
Romario Shepherd,2022,58,43,3,134.8837209,4,98,57,9.5,10.31578947
Rahul Tewatia,2022,217,156,12,139.1025641,1,76,36,6,12.66666667
R. Ashwin,2022,191,140,12,136.4285714,13,506,419,69.83333333,7.245823389
Raj Angad Bawa,2022,11,14,2,78.57142857,0,0,0,0,0
Rahul Tripathi,2022,413,271,14,152.398524,0,0,0,0,0
Ramandeep Singh,2022,45,42,4,107.1428571,6,55,41,6.833333333,8.048780488
Rashid Khan,2022,91,44,8,206.8181818,20,428,386,64.33333333,6.652849741
Rasikh Salam,2022,7,6,1,116.6666667,0,28,24,4,7
Ravi Bishnoi,2022,0,1,1,0,14,462,340,56.66666667,8.152941176
Ravindra Jadeja,2022,116,105,10,110.4761905,6,252,203,33.83333333,7.448275862
Rahul Chahar,2022,77,70,8,110,14,365,290,48.33333333,7.551724138
Ruturaj Gaikwad,2022,368,298,14,123.4899329,0,0,0,0,0
Rishi Dhawan,2022,37,41,4,90.24390244,6,164,119,19.83333333,8.268907563
Rinku Singh,2022,174,125,7,139.2,0,0,0,0,0
Rajat Patidar,2022,333,232,7,143.5344828,0,0,0,0,0
Robin Uthappa,2022,230,181,11,127.0718232,0,0,0,0,0
Rohit Sharma,2022,268,234,14,114.5299145,0,0,0,0,0
Riley Meredith,2022,0,1,1,0,10,241,181,30.16666667,7.988950276
Rishabh Pant,2022,340,234,13,145.2991453,0,0,0,0,0
Ripal Patel,2022,6,3,1,200,0,0,0,0,0
Shivam Dube,2022,289,194,11,148.9690722,0,40,14,2.333333333,17.14285714
Shreyas Gopal,2022,9,7,1,128.5714286,1,34,18,3,11.33333333
Sean Abbott,2022,7,5,1,140,1,47,27,4.5,10.44444444
Suryakumar Yadav,2022,303,210,8,144.2857143,0,0,0,0,0
Sandeep Sharma,2022,0,0,0,0,3,156,126,21,7.428571429
Sherfane Rutherford,2022,33,52,2,63.46153846,0,0,0,0,0
Shahbaz Ahmed,2022,219,197,11,111.1675127,4,341,220,36.66666667,9.3
Shashank Singh,2022,69,47,5,146.8085106,0,20,13,2.166666667,9.230769231
Shikhar Dhawan,2022,460,395,14,116.4556962,0,0,0,0,0
Shivam Mavi,2022,3,8,3,37.5,5,229,142,23.66666667,9.676056338
Shubman Gill,2022,483,374,16,129.144385,0,0,0,0,0
Siddarth Kaul,2022,0,0,0,0,0,43,24,4,10.75
Simarjeet Singh,2022,7,8,3,87.5,4,143,113,18.83333333,7.592920354
Sarfaraz Khan,2022,91,69,5,131.884058,0,0,0,0,0
Shardul Thakur,2022,120,90,10,133.3333333,16,485,315,52.5,9.238095238
Shimron Hetmyer,2022,314,221,15,142.081448,0,0,0,0,0
Sheldon Jackson,2022,23,26,5,88.46153846,0,0,0,0,0
Sunil Narine,2022,71,40,9,177.5,10,319,342,57,5.596491228
Shreyas Iyer,2022,401,310,14,129.3548387,0,7,6,1,7
Suyash Prabhudessai,2022,67,62,5,108.0645161,0,0,0,0,0
Sanju Samson,2022,458,321,17,142.6791277,0,0,0,0,0
Sam Billings,2022,169,143,8,118.1818182,0,0,0,0,0
T Natarajan,2022,0,0,0,0,20,410,272,45.33333333,9.044117647
Tristan Stubbs,2022,2,4,2,50,0,0,0,0,0
Trent Boult,2022,40,30,7,133.3333333,18,501,387,64.5,7.76744186
Tim Southee,2022,2,12,5,16.66666667,16,284,220,36.66666667,7.745454545
Tim David,2022,186,91,8,204.3956044,0,0,0,0,0
Tilak Varma,2022,397,313,14,126.8370607,0,13,12,2,6.5
Tim Seifert,2022,24,21,2,114.2857143,0,0,0,0,0
Tymal Mills,2022,0,3,2,0,6,192,107,17.83333333,10.76635514
Tushar Deshpande,2022,0,0,0,0,1,67,43,7.166666667,9.348837209
Umran Malik,2022,4,8,4,50,23,455,313,52.16666667,8.722044728
Umesh Yadav,2022,55,41,7,134.1463415,16,354,297,49.5,7.151515152
Vijay Shankar,2022,19,36,4,52.77777778,1,15,10,1.666666667,9
Vaibhav Arora,2022,5,14,4,35.71428571,4,165,110,18.33333333,9
Virat Kohli,2022,341,306,16,111.4379085,0,0,0,0,0
Varun Aaron,2022,0,0,0,0,2,53,33,5.5,9.636363636
Venkatesh Iyer,2022,182,175,12,104,0,46,24,4,11.5
Washington Sundar,2022,101,76,7,132.8947368,6,239,170,28.33333333,8.435294118
Wriddhiman Saha,2022,317,266,11,119.1729323,0,0,0,0,0
Yash Dayal,2022,0,1,1,0,13,296,205,34.16666667,8.663414634
Yashasvi Jaiswal,2022,258,198,10,130.3030303,0,6,1,0.166666667,36
Yuzvendra Chahal,2022,5,8,1,62.5,29,536,429,71.5,7.496503497
Abhinav Manohar,2023,114,86,6,132.5581395,0,0,0,0,0
Amit Mishra,2023,19,30,1,63.33333333,7,151,115,19.16666667,7.87826087
Anrich Nortje,2023,37,29,7,127.5862069,11,370,251,41.83333333,8.844621514
Adam Zampa,2023,10,17,3,58.82352941,9,189,133,22.16666667,8.526315789
Abdul Basith,2023,1,1,1,100,0,0,0,0,0
Abdul Samad,2023,169,131,8,129.0076336,0,0,0,0,0
Abhishek Sharma,2023,226,166,11,136.1445783,2,127,75,12.5,10.16
Abishek Porel,2023,33,31,4,106.4516129,0,0,0,0,0
Akeal Hosein ,2023,16,11,1,145.4545455,1,41,24,4,10.25
Ajinkya Rahane,2023,326,193,11,168.9119171,0,0,0,0,0
AK Markram,2023,248,200,13,124,1,71,49,8.166666667,8.693877551
Akash Deep,2023,17,8,1,212.5,1,63,33,5.5,11.45454545
Akash Madhwal,2023,0,0,0,0,16,222,160,26.66666667,8.325
Akash Singh,2023,0,0,0,0,5,188,117,19.5,9.641025641
Aman Hakim Khan,2023,110,106,9,103.7735849,0,0,0,0,0
Ambati Rayudu,2023,158,115,12,137.3913043,0,0,0,0,0
Andre Russell,2023,227,162,14,140.1234568,7,173,99,16.5,10.48484848
Anmolpreet Singh,2023,105,83,4,126.5060241,0,0,0,0,0
Anuj Rawat,2023,91,72,7,126.3888889,0,0,0,0,0
Axar Rajesh Patel,2023,283,216,13,131.0185185,11,344,288,48,7.166666667
Arjun Tendulkar,2023,13,9,1,144.4444444,4,95,68,11.33333333,8.382352941
Arshad Khan,2023,18,15,3,120,5,192,97,16.16666667,11.87628866
Arshdeep Singh,2023,2,2,1,100,18,497,324,54,9.203703704
Alzarri Joseph,2023,7,12,1,58.33333333,7,226,150,25,9.04
Anukul Roy,2023,23,19,4,121.0526316,3,65,51,8.5,7.647058824
Atharva Taide,2023,186,136,7,136.7647059,0,0,0,0,0
Adil Rashid,2023,22,17,2,129.4117647,2,56,42,7,8
Avesh Khan,2023,0,1,1,0,8,287,176,29.33333333,9.784090909
Ayush Badoni,2023,238,186,12,127.9569892,0,0,1,0.166666667,0
B. Sai Sudharsan,2023,362,264,8,137.1212121,0,0,0,0,0
Benjamin Stokes,2023,15,15,2,100,0,18,6,1,18
Bhuvneshwar Kumar,2023,42,49,5,85.71428571,19,432,319,53.16666667,8.12539185
Chris Green,2023,452,287,16,157.4912892,8,370,239,39.83333333,9.288702929
Chetan Sakariya,2023,4,6,2,66.66666667,3,89,55,9.166666667,9.709090909
Chris Jordan,2023,6,13,2,46.15384615,3,241,140,23.33333333,10.32857143
Varun Chakravarthy,2023,1,11,2,9.090909091,20,445,323,53.83333333,8.26625387
Duan Jansen,2023,0,0,0,0,1,53,28,4.666666667,11.35714286
Devdutt Padikkal,2023,261,206,11,126.6990291,0,0,0,0,0
Dwaine Pretorius,2023,0,0,0,0,0,29,28,4.666666667,6.214285714
David Wiese,2023,21,11,3,190.9090909,0,38,18,3,12.66666667
David Miller,2023,259,184,13,140.7608696,0,0,0,0,0
David Warner,2023,516,406,14,127.0935961,0,0,0,0,0
Darshan Nalkande,2023,0,1,1,0,1,45,25,4.166666667,10.8
Dhruv Jurel,2023,152,93,11,163.4408602,0,0,0,0,0
Dinesh Karthik,2023,140,106,13,132.0754717,0,0,0,0,0
Deepak Hooda,2023,84,93,12,90.32258065,0,8,6,1,8
David Willey,2023,35,32,3,109.375,4,106,94,15.66666667,6.765957447
Deepak Chahar,2023,1,2,1,50,13,302,215,35.83333333,8.427906977
Devon Conway,2023,672,493,15,136.3083164,0,0,0,0,0
Faf du Plessis,2023,730,483,14,151.1387164,0,0,0,0,0
Fazalhaq Farooqi,2023,1,5,1,20,4,119,86,14.33333333,8.302325581
Glenn Phillips,2023,39,22,5,177.2727273,1,20,18,3,6.666666667
Glenn Maxwell,2023,400,225,14,177.7777778,3,95,64,10.66666667,8.90625
Gurnoor Brar,2023,0,0,0,0,0,42,21,3.5,12
Heinrich Klaasen,2023,448,262,11,170.9923664,0,0,0,0,0
Himanshu Sharma,2023,0,0,0,0,0,33,18,3,11
Harpreet Brar,2023,52,42,8,123.8095238,9,219,166,27.66666667,7.915662651
Harpreet Singh,2023,76,59,3,128.8135593,0,0,0,0,0
Harshit Rana,2023,0,1,1,0,6,153,108,18,8.5
Harry Brook,2023,190,159,11,119.4968553,0,0,0,0,0
Hardik Pandya,2023,346,254,15,136.2204724,4,241,156,26,9.269230769
Hrithik Shokeen,2023,23,19,3,121.0526316,3,190,119,19.83333333,9.579831933
Harshal Patel,2023,6,6,2,100,15,468,302,50.33333333,9.298013245
Ishan Kishan,2023,454,325,15,139.6923077,0,0,0,0,0
Ishant Sharma,2023,1,1,1,100,10,210,157,26.16666667,8.025477707
Josh Little,2023,0,0,0,0,9,296,211,35.16666667,8.417061611
Jayant Yadav,2023,0,0,0,0,0,26,24,4,6.5
Jason Holder,2023,12,12,3,100,4,290,176,29.33333333,9.886363636
Jaydev Unadkat,2023,9,7,1,128.5714286,1,92,52,8.666666667,10.61538462
Jofra Archer,2023,4,4,2,100,2,202,129,21.5,9.395348837
Jos Buttler,2023,392,298,14,131.5436242,0,0,0,0,0
JoeRoot,2023,10,15,1,66.66666667,0,15,12,2,7.5
Jason Roy,2023,285,196,8,145.4081633,0,0,0,0,0
Jitesh Sharma,2023,309,205,14,150.7317073,0,0,0,0,0
Jason Behrendorff,2023,6,9,2,66.66666667,17,395,262,43.66666667,9.045801527
Josh Hazlewood,2023,1,2,1,50,3,76,57,9.5,8
Krishnappa Gowtham,2023,61,44,7,138.6363636,3,118,100,16.66666667,7.08
Kumar Kartikeya,2023,6,7,1,85.71428571,5,231,163,27.16666667,8.503067485
Kulwant Khejroliya,2023,0,0,0,0,2,64,28,4.666666667,13.71428571
Kagiso Rabada,2023,0,2,2,0,7,243,147,24.5,9.918367347
Kuldeep Yadav,2023,0,0,0,0,2,68,42,7,9.714285714
Karn Sharma,2023,3,5,2,60,11,229,132,22,10.40909091
Kartik Tyagi,2023,0,0,0,0,1,92,44,7.333333333,12.54545455
Kedar Jadhav,2023,12,10,1,120,0,0,0,0,0
Krunal Pandya,2023,188,172,14,109.3023256,9,320,253,42.16666667,7.588932806
Khaleel Ahmed,2023,0,0,0,0,10,309,212,35.33333333,8.745283019
KL Rahul,2023,274,247,9,110.9311741,0,0,0,0,0
K.M. Asif,2023,0,2,1,0,3,139,91,15.16666667,9.164835165
Kyle Mayers,2023,379,276,13,137.3188406,0,59,46,7.666666667,7.695652174
Kuldeep Sen,2023,0,0,0,0,0,29,19,3.166666667,9.157894737
Karan Sharma,2023,12,21,2,57.14285714,0,0,0,0,0
Kuldeep Yadav,2023,31,50,10,62,10,366,300,50,7.32
Lalit Yadav,2023,66,62,6,106.4516129,3,120,82,13.66666667,8.780487805
Lockie Ferguson,2023,0,0,0,0,1,98,50,8.333333333,11.76
Liton Das,2023,4,4,1,100,0,0,0,0,0
Liam Livingstone,2023,279,175,9,159.4285714,2,94,42,7,13.42857143
Murugan Ashwin,2023,0,0,0,0,0,53,25,4.166666667,12.72
Marco Jansen,2023,39,45,6,86.66666667,10,273,178,29.66666667,9.202247191
Mayank Markande,2023,21,14,3,150,12,300,230,38.33333333,7.826086957
Matheesha Pathirana,2023,0,0,0,0,23,386,310,51.66666667,7.470967742
Shahrukh Khan,2023,156,100,12,156,0,0,0,0,0
Mayank Theekshana,2023,0,0,0,0,11,401,298,49.66666667,8.073825503
Mark Wood,2023,11,5,2,220,11,142,102,17,8.352941176
Manan Vohra,2023,10,11,1,90.90909091,0,0,0,0,0
Mandeep Singh,2023,14,16,3,87.5,0,0,0,0,0
Manish Pandey,2023,160,149,9,107.3825503,0,0,0,0,0
Mayank Agarwal,2023,270,219,10,123.2876712,0,0,0,0,0
Mayank Dagar,2023,0,0,0,0,1,83,66,11,7.545454545
Dasun Shanaka,2023,26,26,3,100,0,0,0,0,0
Micheal Bracewell,2023,58,49,4,118.3673469,6,95,66,11,8.636363636
Mitchell Marsh,2023,128,97,9,131.9587629,12,172,132,22,7.818181818
Mitchell Santner,2023,2,4,2,50,3,82,72,12,6.833333333
Mahipal Lomror,2023,135,101,10,133.6633663,1,17,12,2,8.5
Moeen Ali,2023,124,92,10,134.7826087,9,198,157,26.16666667,7.566878981
Mohammed Shami,2023,5,8,2,62.5,28,532,403,67.16666667,7.920595533
Mohammed Siraj,2023,1,2,2,50,20,395,329,54.83333333,7.203647416
Mohit Rathee,2023,1,2,1,50,0,29,12,2,14.5
Mohit Sharma,2023,0,1,1,0,31,362,268,44.66666667,8.104477612
Mohsin Khan,2023,0,7,1,0,3,111,64,10.66666667,10.40625
Marcus Stoinis,2023,408,281,15,145.1957295,5,101,69,11.5,8.782608696
MS Dhoni,2023,104,63,12,165.0793651,0,0,0,0,0
Mukesh Kumar,2023,7,10,3,70,9,328,197,32.83333333,9.989847716
Mustafizur Rahman,2023,1,1,1,100,1,79,42,7,11.28571429
Matthew Short,2023,117,99,6,118.1818182,0,25,25,4.166666667,6
Narayan Jagadeesan,2023,89,84,6,105.952381,0,0,0,0,0
Nicolas Pooran,2023,358,217,15,164.9769585,0,0,0,0,0
Nitish Rana,2023,413,303,14,136.3036304,3,75,54,9,8.333333333
Nehal Wadhera,2023,241,171,10,140.9356725,0,0,0,0,0
Navdeep Saini,2023,0,0,0,0,0,35,15,2.5,14
Navdeep Saini,2023,0,0,0,0,3,40,25,4.166666667,9.6
Naveen-ul-Haq,2023,16,22,3,72.72727273,11,227,175,29.16666667,7.782857143
Nithish Kumar Reddy,2023,0,0,0,0,0,54,31,5.166666667,10.4516129
Noor Ahmad,2023,8,9,3,88.88888889,16,375,299,49.83333333,7.525083612
Nathan Ellis,2023,1,7,2,14.28571429,13,342,233,38.83333333,8.806866953
Obed Mccoy,2023,0,0,0,0,0,13,7,1.166666667,11.14285714
Praveen Dubey,2023,16,20,1,80,1,19,19,3.166666667,6
Prabhsimran Singh,2023,358,245,14,146.122449,0,0,0,0,0
Bhanuka Rajapaksa,2023,71,64,4,110.9375,0,0,0,0,0
Phil Salt,2023,218,135,9,161.4814815,0,0,0,0,0
Piyush Chawla,2023,25,22,4,113.6363636,23,499,371,61.83333333,8.070080863
Priyam Garg,2023,22,23,2,95.65217391,0,0,0,0,0
Prerak Mankad,2023,93,74,4,125.6756757,0,0,0,0,0
Prithvi Shaw,2023,106,90,8,117.7777778,0,0,0,0,0
Wanindu Hasaranga,2023,33,30,5,110,9,259,175,29.16666667,8.88
Quinton de Kock,2023,143,103,4,138.8349515,0,0,0,0,0
Raghav Goyal,2023,0,0,0,0,0,34,24,4,8.5
Riyan Parag,2023,78,68,7,114.7058824,0,0,0,0,0
RovmanPowell,2023,7,9,3,77.77777778,1,18,14,2.333333333,7.714285714
Romario Shepherd,2023,0,1,1,0,0,0,0,0,0
Rahul Tewatia,2023,87,61,10,142.6229508,0,15,14,2.333333333,6.428571429
R. Ashwin,2023,67,55,9,121.8181818,15,370,309,51.5,7.184466019
Rahul Tripathi,2023,273,217,13,125.8064516,0,0,0,0,0
Rahmanullah Gurbaz,2023,227,178,11,127.5280899,0,0,0,0,0
Rashid Khan,2023,130,66,9,196.969697,28,557,407,67.83333333,8.211302211
Ravi Bishnoi,2023,20,28,7,71.42857143,17,394,312,52,7.576923077
Ravindra Jadeja,2023,190,138,12,137.6811594,20,432,348,58,7.448275862
Rahul Chahar,2023,0,10,2,0,8,388,301,50.16666667,7.734219269
Ruturaj Gaikwad,2023,590,411,15,143.5523114,0,0,0,0,0
Rishi Dhawan,2023,20,12,2,166.6666667,1,64,42,7,9.142857143
Reece Topley,2023,0,0,0,0,1,14,12,2,7
Rinku Singh,2023,474,333,14,142.3423423,0,0,0,0,0
Rohit Sharma,2023,332,258,16,128.6821705,0,0,0,0,0
Riley Meredith,2023,0,2,1,0,7,209,126,21,9.952380952
Rilee Rossouw,2023,209,148,9,141.2162162,0,0,0,0,0
Rajvardhan Hangargekar,2023,0,0,0,0,3,60,43,7.166666667,8.372093023
Ripal Patel,2023,49,44,4,111.3636364,0,0,0,0,0
Shivam Dube,2023,418,277,14,150.9025271,0,0,0,0,0
Suryakumar Yadav,2023,605,340,16,177.9411765,0,0,0,0,0
Sandeep Sharma,2023,2,7,2,28.57142857,15,398,290,48.33333333,8.234482759
Sanvir Singh,2023,11,9,2,122.2222222,0,0,0,0,0
Shahbaz Ahmed,2023,42,41,6,102.4390244,1,95,42,7,13.57142857
Shikhar Dhawan,2023,373,275,11,135.6363636,0,0,0,0,0
Shubman Gill,2023,890,582,17,152.9209622,0,0,0,0,0
Sikandar Raza,2023,139,104,7,133.6538462,3,124,76,12.66666667,9.789473684
Sam Curran,2023,276,213,13,129.5774648,11,497,299,49.83333333,9.973244147
Sarfaraz Khan,2023,53,62,4,85.48387097,0,0,0,0,0
Shardul Thakur,2023,113,72,9,156.9444444,7,222,132,22,10.09090909
Shimron Hetmyer,2023,299,205,13,145.8536585,0,0,0,0,0
Sunil Narine,2023,21,28,10,75,11,389,296,49.33333333,7.885135135
Suyash Prabhudessai,2023,35,32,4,109.375,0,0,0,0,0
Sisanda Magala,2023,0,0,0,0,1,52,37,6.166666667,8.432432432
Suyash Sharma,2023,0,0,0,0,11,330,239,39.83333333,8.284518828
Sanju Samson,2023,362,240,14,150.8333333,0,0,0,0,0
Swapnil Singh,2023,2,4,1,50,0,18,12,2,9
T Natarajan,2023,0,0,0,0,13,416,276,46,9.043478261
Tristan Stubbs,2023,25,31,2,80.64516129,1,14,12,2,7
Trent Boult,2023,16,17,4,94.11764706,13,316,235,39.16666667,8.068085106
Tim Southee,2023,0,0,0,0,2,79,36,6,13.16666667
Tim David,2023,231,155,15,149.0322581,0,0,0,0,0
Tilak Varma,2023,343,226,11,151.7699115,0,7,7,1.166666667,6
Tushar Deshpande,2023,0,1,1,0,24,580,368,61.33333333,9.456521739
Umran Malik,2023,19,8,1,237.5,6,219,124,20.66666667,10.59677419
Umesh Yadav,2023,19,20,5,95,1,190,116,19.33333333,9.827586207
Vijay Shankar,2023,301,199,10,151.2562814,0,0,0,0,0
Vaibhav Arora,2023,3,2,2,150,5,149,107,17.83333333,8.355140187
Vijaykumar Vyshak,2023,13,10,2,130,11,253,153,25.5,9.921568627
Virat Kohli,2023,639,473,14,135.0951374,0,0,0,0,0
Vishnu Vinod,2023,37,32,3,115.625,0,0,0,0,0
Vivrant Sharma,2023,69,49,1,140.8163265,0,37,21,3.5,10.57142857
Venkatesh Iyer,2023,404,288,14,140.2777778,0,0,0,0,0
Washington Sundar,2023,60,62,5,96.77419355,3,146,106,17.66666667,8.264150943
Wayne Parnell,2023,2,6,1,33.33333333,9,237,157,26.16666667,9.057324841
Wriddhiman Saha,2023,371,297,17,124.9158249,0,0,0,0,0
Yash Dayal,2023,0,0,0,0,2,165,88,14.66666667,11.25
Yash Thakur,2023,0,0,0,0,15,297,207,34.5,8.608695652
Yashasvi Jaiswal,2023,625,397,14,157.4307305,0,0,0,0,0
Yuzvendra Chahal,2023,0,0,0,0,22,434,326,54.33333333,7.987730061
Yudhvir Singh,2023,1,2,2,50,3,73,50,8.333333333,8.76
Yash Dhull,2023,16,23,3,69.56521739,0,0,0,0,0
Anshul Kamboj,2024,2,2,1,100,2,115,68,11.33333333,10.14705882
Abhinav Manohar,2024,9,16,2,56.25,0,0,0,0,0
Amit Mishra,2024,0,0,0,0,1,20,12,2,10
Anrich Nortje,2024,4,9,2,44.44444444,7,298,140,23.33333333,12.77142857
Angkrish Raghuvanshi,2024,163,109,7,149.5412844,0,0,0,0,0
Arshin Kulkarni,2024,9,8,2,112.5,0,0,0,0,0
Abdul Samad,2024,182,113,12,161.0619469,0,0,0,0,0
Abhishek Sharma,2024,484,248,16,195.1612903,2,51,42,7,7.285714286
Abishek Porel,2024,327,213,12,153.5211268,0,0,0,0,0
Ashton Turner,2024,21,20,2,105,0,0,0,0,0
Ajinkya Rahane,2024,242,200,12,121,0,0,0,0,0
AK Markram,2024,220,187,11,117.6470588,0,15,13,2.166666667,6.923076923
Akash Deep,2024,2,2,1,100,1,55,23,3.833333333,14.34782609
Akash Madhwal,2024,4,5,1,80,6,209,119,19.83333333,10.53781513
Andre Russell,2024,222,141,9,157.4468085,19,304,188,31.33333333,9.70212766
Anmolpreet Singh,2024,5,7,2,71.42857143,0,0,0,0,0
Anuj Rawat,2024,98,80,5,122.5,0,0,0,0,0
Axar Rajesh Patel,2024,235,183,12,128.4153005,11,340,265,44.16666667,7.698113208
Arjun Tendulkar,2024,0,0,0,0,0,22,15,2.5,8.8
Arshad Khan,2024,78,52,3,150,1,90,56,9.333333333,9.642857143
Arshad Khan (2),2024,5,4,1,125,0,25,13,2.166666667,11.53846154
Arshdeep Singh,2024,4,4,1,100,20,514,326,54.33333333,9.460122699
Alzarri Joseph,2024,0,0,0,0,1,123,64,10.66666667,11.53125
Anukul Roy,2024,3,3,1,100,1,60,34,5.666666667,10.58823529
Ashutosh Sharma,2024,189,118,9,160.1694915,0,0,0,0,0
Atharva Taide,2024,61,41,2,148.7804878,0,4,1,0.166666667,24
Avesh Khan,2024,10,5,2,200,22,533,346,57.66666667,9.242774566
